,title
0,9.1M
1,5.9M
2,4.2M
3,13M
4,20M
5,4.6M
6,5.3M
7,10M
8,2.4M
9,3.8M
10,3.2M
11,659K
12,11M
13,1.7M
14,734K
15,828K
16,2.1M
17,6.1M
18,488K
19,4.8M
20,2.1M
21,3.1M
22,1.1M
23,908K
24,343K
25,1.5M
26,2.4M
27,1.7M
28,23K
29,44
30,38K
31,
32,26M
33,413K
34,316K
35,123
36,6.3M
37,659K
38,6.4M
39,1.9M
40,1M
41,2.1M
42,515
43,6M
44,513K
45,5M
46,2.3M
47,2.7K
48,1.3K
49,16M
50,5M
51,171K
52,23M
53,7.2M
54,3M
55,1.6M
56,623K
57,
58,286K
59,1.4M
60,2.4M
61,333K
62,27M
63,4.8M
64,86K
65,9.4M
66,4.2M
67,8.6M
68,1.5M
69,135K
70,28M
71,317K
72,877K
73,118K
74,1.5M
75,352K
76,74K
77,9.1M
78,13M
79,1.4K
80,1.4M
81,186K
82,1M
83,3.3M
84,1.9M
85,1.3M
86,979K
87,66K
88,12M
89,2.5M
90,148K
91,
92,488K
93,10M
94,7.5M
95,236K
96,2.1M
97,2.2M
98,13M
99,945K
100,1.3M
101,651K
102,1.9M
103,295K
104,6.5M
105,13M
106,23M
107,2.1M
108,211K
109,1.6M
110,2.3M
111,253K
112,1.5M
113,5.9M
114,7.3M
115,1M
116,5.5K
117,2.2M
118,699K
119,831K
120,2.8M
121,4M
122,11M
123,1.5M
124,10M
125,3.1K
126,3M
127,1.3M
128,4.6M
129,345K
130,109K
131,3.8M
132,733K
133,5.6M
134,10M
135,
136,202K
137,34K
138,1.4K
139,32
140,205K
141,855K
142,2.4M
143,1M
144,3.2M
145,777K
146,583K
147,5.7K
148,2.1M
149,3.3M
150,3M
151,177K
152,15M
153,359K
154,561K
155,1.3K
156,73K
157,3.3M
158,910K
159,71K
160,1.8K
161,1.8M
162,150K
163,3.5K
164,3.3M
165,7.6M
166,19K
167,417K
168,2.7M
169,
170,973K
171,3.7M
172,3.3M
173,596K
174,1.6M
175,5
176,5.9K
177,103K
178,113K
179,1.2M
180,25
181,2.7M
182,3.2K
183,12M
184,50K
185,
186,2.5M
187,11K
188,462K
189,3.9M
190,13M
191,1.2M
192,324
193,2.7M
194,35K
195,489
196,237K
197,1.9M
198,1M
199,1.3M
200,21K
201,17K
202,10M
203,2.6M
204,1.7M
205,1.2K
206,15M
207,2.6M
208,250K
209,5.2M
210,2.1M
211,680K
212,2.1M
213,1.2M
214,8.9M
215,2.9M
216,1.1M
217,421K
218,158K
219,780K
220,549K
221,579K
222,3.2K
223,699
224,32K
225,4.3M
226,390K
227,99
228,653K
229,6.9M
230,1.1M
231,641K
232,2.8M
233,560K
234,694K
235,59K
236,1.1K
237,103K
238,19K
239,291K
240,5.3K
241,57K
242,2.9K
243,1.2M
244,13K
245,22K
246,367K
247,146K
248,2.7K
249,5.9K
250,6
251,4K
252,1.8M
253,319K
254,256K
255,1.1M
256,3.9M
257,6.2M
258,3.8M
259,742K
260,2.2M
261,5M
262,227K
263,9.9M
264,1.3M
265,174K
266,490K
267,192K
268,657K
269,18K
270,8.7M
271,438K
272,218K
273,601K
274,1.1M
275,376K
276,1.6M
277,8.9M
278,2M
279,4.5M
280,263K
281,739
282,52
283,41K
284,281K
285,14K
286,118
287,230K
288,165K
289,5M
290,18M
291,5.8M
292,10M
293,3.9M
294,74K
295,2.8M
296,1.8M
297,3.2M
298,12M
299,1.2M
300,9.5K
301,690K
302,239K
303,6.6M
304,683K
305,2M
306,10M
307,5.5M
308,15K
309,891K
310,36K
311,1.2M
312,638K
313,12K
314,228K
315,144K
316,563K
317,3.1M
318,13M
319,2.6M
320,2.6M
321,7.5M
322,52
323,464K
324,1.9M
325,10M
326,1.9K
327,1.1M
328,1.2M
329,1.2M
330,60K
331,2.2M
332,354K
333,474K
334,3.9M
335,653K
336,7.5M
337,115K
338,4.3K
339,24K
340,19K
341,108K
342,1.3M
343,15M
344,9.7M
345,2.5M
346,20K
347,6.3M
348,692K
349,2.6M
350,13M
351,2.1M
352,150K
353,2.3M
354,10M
355,40K
356,
357,1.7K
358,3.4K
359,
360,250K
361,4
362,
363,309
364,275
365,48K
366,9.6M
367,49K
368,1.2M
369,1.9M
370,2M
371,
372,
373,1.1M
374,
375,13K
376,1.1M
377,528K
378,27K
379,595K
380,407K
381,1.4M
382,905K
383,2.1K
384,107K
385,6.9M
386,57K
387,665K
388,1
389,9K
390,
391,3.3K
392,1M
393,22M
394,
395,245K
396,385K
397,7.9M
398,742K
399,
400,4.6M
401,259K
402,1.3M
403,194K
404,6.1K
405,4.5K
406,1.3M
407,7M
408,1.4M
409,
410,3.8M
411,108K
412,1M
413,1.9M
414,3.4M
415,
416,10M
417,72K
418,204K
419,
420,2.3M
421,304K
422,1.8M
423,5.8M
424,2.6M
425,1.1M
426,2.3M
427,11M
428,323K
429,7.8M
430,238K
431,719
432,507K
433,5.6M
434,2.3K
435,1.3M
436,3.1M
437,101
438,8
439,94K
440,2.8M
441,6M
442,9.1M
443,1.5K
444,1.7M
445,518K
446,12M
447,9.5M
448,1.3M
449,3.9M
450,2M
451,
452,2.4M
453,8.6M
454,389
455,14M
456,417K
457,1.2M
458,50
459,604K
460,8.5M
461,180K
462,816K
463,1.2M
464,1.5M
465,408K
466,10K
467,263K
468,3.6M
469,335K
470,
471,
472,36
473,104
474,156
475,
476,3.1K
477,95K
478,379
479,6M
480,3.3M
481,148K
482,6.9K
483,11
484,16
485,160
486,350K
487,
488,763K
489,
490,19K
491,9.4M
492,11K
493,6.9K
494,180K
495,218K
496,1.6M
497,3.8M
498,8.1M
499,14M
500,473
501,4.2M
502,950K
503,3M
504,1.6M
505,
506,3.8M
507,28K
508,5.3M
509,352K
510,53K
511,10K
512,16
513,4M
514,2.5M
515,84K
516,19M
517,448K
518,
519,290K
520,2.9K
521,10M
522,1.5K
523,
524,3.4M
525,59K
526,
527,93
528,1M
529,1.3M
530,1.4M
531,10M
532,760K
533,23K
534,
535,1.5K
536,
537,15K
538,3
539,315K
540,205K
541,1.7M
542,6.3K
543,1.1M
544,125K
545,36K
546,158K
547,11M
548,285K
549,143K
550,154K
551,12M
552,2.1M
553,232K
554,368K
555,662K
556,276K
557,1.5M
558,1.1M
559,799K
560,889K
561,10M
562,3.9M
563,174K
564,1.2M
565,
566,2M
567,758
568,717K
569,473K
570,72K
571,17K
572,838K
573,314K
574,419K
575,1.6M
576,302
577,553
578,136K
579,
580,66
581,589K
582,579K
583,164K
584,3M
585,1.8M
586,7.5M
587,758K
588,336K
589,
590,1.6M
591,88K
592,658K
593,
594,1.3M
595,38K
596,10K
597,158K
598,1.3M
599,1.1K
600,142K
601,1K
602,
603,1K
604,2.8K
605,755K
606,23K
607,446K
608,5.4K
609,1.1M
610,2M
611,784K
612,1M
613,5.7M
614,1.1M
615,706K
616,2.3M
617,4K
618,2.4M
619,13K
620,1M
621,5.9M
622,28K
623,175K
624,2.4M
625,571K
626,108K
627,1.9M
628,1.3M
629,5.9M
630,2.1M
631,895K
632,1.3M
633,24K
634,52K
635,8.4M
636,3.4M
637,
638,660K
639,72K
640,222K
641,2M
642,398K
643,29
644,2.3M
645,
646,
647,54K
648,10M
649,2.2M
650,152K
651,1.8M
652,2.5M
653,1.4M
654,632K
655,2.3M
656,1.1M
657,643K
658,2M
659,27K
660,211
661,1.5K
662,115
663,581
664,15M
665,7.7M
666,1.4M
667,251K
668,2.4M
669,
670,573K
671,603K
672,
673,218K
674,33K
675,32K
676,33
677,4.5M
678,52
679,356
680,53
681,3.6M
682,1.4M
683,249K
684,1.4M
685,2.8M
686,1.7M
687,34K
688,
689,640K
690,3.1M
691,266
692,9.2M
693,2.7M
694,1M
695,1M
696,28M
697,318K
698,710K
699,3.6M
700,7.4M
701,7.2M
702,120K
703,47K
704,7.3M
705,1.5M
706,90K
707,7.6M
708,798K
709,603K
710,356K
711,107
712,101K
713,6M
714,314K
715,94K
716,1.4K
717,12K
718,1.5M
719,
720,100K
721,161K
722,19
723,919
724,969K
725,24K
726,10K
727,9.9K
728,1.6M
729,
730,40K
731,4.1M
732,1.9M
733,3.6K
734,802K
735,148K
736,227K
737,307K
738,
739,1.4M
740,5.4M
741,282K
742,1.1M
743,380K
744,38K
745,1K
746,230K
747,21
748,3.2K
749,3.5K
750,4.5K
751,63K
752,137K
753,1.5M
754,88K
755,4.8M
756,1.6M
757,37K
758,
759,7.2M
760,3.1M
761,1.3M
762,4.5M
763,129K
764,323K
765,216K
766,528K
767,5.5K
768,1.7M
769,1.8M
770,
771,280K
772,187K
773,34K
774,2.9K
775,222
776,712K
777,2.9M
778,4.5M
779,17K
780,
781,713K
782,1.4M
783,810K
784,6.6M
785,
786,3.1M
787,403K
788,110K
789,576K
790,5.1K
791,1.5M
792,186K
793,90K
794,816K
795,4.8M
796,16M
797,3.8M
798,233K
799,610K
800,35K
801,5.5M
802,
803,580K
804,269K
805,445K
806,1.8M
807,54K
808,11K
809,
810,64K
811,67K
812,1.4M
813,30K
814,357K
815,256K
816,200K
817,2.7M
818,63K
819,9.6K
820,13K
821,1.6M
822,777K
823,1.9M
824,17K
825,441K
826,3K
827,39K
828,13K
829,1.2K
830,206K
831,224K
832,2M
833,324K
834,2K
835,844K
836,1M
837,4.9M
838,12M
839,161K
840,5.9M
841,345K
842,1.1M
843,72K
844,1M
845,324K
846,411K
847,993K
848,96K
849,212K
850,8.1M
851,5K
852,1.3M
853,15K
854,3.5M
855,1.9K
856,745K
857,2M
858,28M
859,638K
860,3.2K
861,2.8K
862,647K
863,172K
864,799
865,816K
866,725K
867,345K
868,2.9M
869,31
870,142K
871,435K
872,64K
873,1.4M
874,1.6M
875,1.8M
876,562K
877,358K
878,15M
879,6.1K
880,125
881,16
882,
883,4.5K
884,31K
885,255K
886,959K
887,247K
888,380K
889,871K
890,11K
891,1.9K
892,2.3M
893,821K
894,12K
895,1M
896,178K
897,36K
898,82K
899,786K
900,411K
901,14K
902,2.3M
903,896
904,10M
905,42K
906,22K
907,704K
908,9.3M
909,
910,
911,968K
912,153K
913,390K
914,2.6M
915,4M
916,6M
917,509K
918,32
919,473K
920,86K
921,38K
922,730K
923,9.8K
924,3.3M
925,897K
926,
927,
928,
929,1.3M
930,586K
931,1.7M
932,117K
933,32K
934,1.2M
935,31K
936,1K
937,
938,275K
939,31K
940,287K
941,4.4M
942,1.2M
943,413K
944,350K
945,995K
946,692K
947,2.9M
948,
949,744K
950,693K
951,450K
952,558K
953,
954,779K
955,1.1K
956,43K
957,9.4K
958,26M
959,9.7M
960,1.2M
961,8.4M
962,18K
963,1.3M
964,1.4M
965,41K
966,578K
967,2.2K
968,490K
969,91K
970,5.9M
971,2.2M
972,
973,17M
974,319K
975,1M
976,
977,1.7M
978,155K
979,639K
980,92K
981,182K
982,188K
983,16K
984,459K
985,1M
986,35K
987,21
988,98K
989,5.6M
990,6.5K
991,3K
992,506K
993,639K
994,3.3K
995,2.8M
996,1.6M
997,
998,84
999,1M
1000,16
1001,677K
1002,11K
1003,
1004,72K
1005,4.2K
1006,
1007,8.6M
1008,2.2M
1009,181K
1010,3.9M
1011,41K
1012,1M
1013,
1014,9.1K
1015,64K
1016,117K
1017,
1018,1.1M
1019,
1020,103K
1021,456K
1022,
1023,4.8K
1024,27K
1025,833
1026,1K
1027,1M
1028,454K
1029,215K
1030,2.7K
1031,2.5K
1032,553K
1033,1.7M
1034,962K
1035,4.4M
1036,6.3K
1037,5.4M
1038,125K
1039,1M
1040,83K
1041,694
1042,4.7K
1043,168
1044,1.3M
1045,294K
1046,531K
1047,254K
1048,5.5M
1049,1.5M
1050,975K
1051,1.3M
1052,6.5M
1053,864K
1054,1.7M
1055,1.6K
1056,3.5K
1057,53K
1058,913
1059,147
1060,589K
1061,1.9K
1062,50K
1063,18K
1064,1M
1065,2.2M
1066,1.2M
1067,2.1M
1068,3.6M
1069,767K
1070,742
1071,3.6M
1072,731K
1073,625
1074,614
1075,1.7K
1076,17
1077,1.6K
1078,7.1M
1079,265K
1080,2.1K
1081,835K
1082,384K
1083,
1084,27K
1085,13M
1086,25K
1087,7M
1088,2.2M
1089,244K
1090,3.2M
1091,41K
1092,348K
1093,1.9M
1094,330K
1095,2.2M
1096,11M
1097,5.3M
1098,
1099,118K
1100,578
1101,55K
1102,2.7K
1103,591
1104,1.7M
1105,2.4M
1106,258K
1107,524
1108,2.1M
1109,1.6K
1110,24K
1111,188
1112,74K
1113,5.7M
1114,5.3K
1115,92K
1116,10M
1117,722K
1118,344K
1119,1.1M
1120,33K
1121,1.2M
1122,2.6M
1123,147K
1124,381K
1125,1.3M
1126,2.8K
1127,1.4M
1128,657K
1129,30K
1130,195K
1131,377K
1132,1M
1133,2.1K
1134,4.3K
1135,1.9M
1136,719K
1137,7.4K
1138,20K
1139,30K
1140,859K
1141,550K
1142,6.8K
1143,467K
1144,126K
1145,28K
1146,223K
1147,108K
1148,697
1149,39
1150,13
1151,76
1152,155
1153,426
1154,4
1155,14K
1156,178
1157,
1158,232K
1159,142K
1160,2.1M
1161,388K
1162,1M
1163,2.6M
1164,2.4M
1165,762K
1166,26K
1167,18M
1168,1.8M
1169,5.5M
1170,76K
1171,
1172,4.2K
1173,76
1174,49
1175,9
1176,6.7K
1177,
1178,4.2K
1179,
1180,3.2K
1181,5.6M
1182,676K
1183,14K
1184,285K
1185,9.3M
1186,1.9K
1187,1K
1188,152
1189,40K
1190,18K
1191,1.1M
1192,4.2K
1193,114K
1194,196K
1195,1.2M
1196,21K
1197,
1198,528K
1199,88K
1200,706K
1201,25K
1202,62
1203,40K
1204,2.7M
1205,3.7M
1206,370K
1207,81K
1208,
1209,262K
1210,5.8M
1211,4.5M
1212,11M
1213,746K
1214,5.3K
1215,35K
1216,92K
1217,2.1K
1218,592K
1219,762K
1220,269K
1221,
1222,1.9M
1223,4.5M
1224,44K
1225,3.8M
1226,1.4M
1227,157K
1228,34K
1229,2.2M
1230,2M
1231,222K
1232,4.9K
1233,1.4M
1234,573K
1235,90K
1236,1M
1237,1.2M
1238,522K
1239,6.5K
1240,2.8K
1241,590K
1242,183K
1243,1.1M
1244,68K
1245,20K
1246,778K
1247,701
1248,591K
1249,46K
1250,780
1251,330K
1252,739
1253,
1254,
1255,2.7K
1256,1.4M
1257,45K
1258,17K
1259,2.9M
1260,25K
1261,1.3M
1262,
1263,2.2K
1264,256K
1265,42K
1266,374K
1267,375K
1268,76K
1269,341K
1270,34K
1271,1M
1272,407K
1273,47
1274,958
1275,37K
1276,498K
1277,162K
1278,746K
1279,2.3M
1280,314K
1281,512K
1282,287K
1283,4
1284,9.3K
1285,2
1286,348
1287,3.3K
1288,14K
1289,998K
1290,188K
1291,183K
1292,4.7K
1293,269K
1294,14K
1295,512K
1296,
1297,79K
1298,280K
1299,3.7M
1300,939K
1301,350K
1302,275
1303,2M
1304,566K
1305,49K
1306,113
1307,2.1K
1308,22K
1309,617K
1310,11
1311,1.2K
1312,780
1313,89
1314,188K
1315,181K
1316,13
1317,613
1318,5.5K
1319,2.3M
1320,388K
1321,1.6M
1322,3.7M
1323,220K
1324,48K
1325,757K
1326,77K
1327,2.8K
1328,907
1329,754K
1330,273K
1331,467K
1332,8.7K
1333,163K
1334,361K
1335,321K
1336,108K
1337,98
1338,111
1339,297K
1340,45
1341,55
1342,2.4K
1343,496
1344,7.8M
1345,12M
1346,1.4M
1347,2.1M
1348,1.3M
1349,1.6K
1350,21K
1351,8.4K
1352,337K
1353,2K
1354,1.8M
1355,1.2M
1356,166K
1357,363K
1358,6.5M
1359,1.5M
1360,
1361,8.8K
1362,288K
1363,927
1364,134
1365,1.2K
1366,1.7K
1367,1M
1368,52K
1369,2.4M
1370,523K
1371,523K
1372,3K
1373,4.3M
1374,246K
1375,92K
1376,428K
1377,376
1378,33
1379,833K
1380,1.9M
1381,55K
1382,10K
1383,12K
1384,3.5M
1385,450K
1386,459K
1387,2.4M
1388,123K
1389,294K
1390,4.3M
1391,967K
1392,174K
1393,538K
1394,1.4M
1395,73K
1396,753
1397,6.2M
1398,1.4M
1399,686K
1400,9.4M
1401,229K
1402,14
1403,6
1404,3.5M
1405,671K
1406,29K
1407,3.9M
1408,119K
1409,1.8M
1410,6.3K
1411,7.4M
1412,199
1413,4.6M
1414,18K
1415,394K
1416,1.4M
1417,2.4K
1418,618K
1419,498K
1420,14K
1421,296K
1422,264K
1423,559
1424,2.4M
1425,178
1426,158K
1427,129K
1428,1.8K
1429,1.5K
1430,2.3K
1431,248K
1432,112K
1433,933K
1434,31
1435,826K
1436,152K
1437,4M
1438,6.4M
1439,1.3M
1440,204K
1441,330
1442,1.3M
1443,108K
1444,7.5M
1445,
1446,33K
1447,5.7K
1448,559
1449,70K
1450,235K
1451,5.4M
1452,4.9M
1453,634K
1454,3.1M
1455,1.8M
1456,6.1M
1457,319
1458,2.3M
1459,57K
1460,
1461,1M
1462,47K
1463,685K
1464,145K
1465,831
1466,759
1467,419K
1468,4.3K
1469,70K
1470,62K
1471,1.8M
1472,404K
1473,4.9K
1474,26K
1475,
1476,808K
1477,
1478,573K
1479,103K
1480,628K
1481,14K
1482,335K
1483,631K
1484,181K
1485,543K
1486,460K
1487,37
1488,1K
1489,
1490,5.1K
1491,1K
1492,49
1493,19M
1494,6.4M
1495,1.1M
1496,895K
1497,667K
1498,3.1M
1499,28K
1500,
1501,6M
1502,424
1503,210K
1504,792K
1505,442K
1506,146
1507,1.5K
1508,115
1509,510K
1510,65
1511,1.5M
1512,1.9M
1513,1.3M
1514,504K
1515,293K
1516,6.8M
1517,440K
1518,16K
1519,8.6M
1520,1.9M
1521,3.7K
1522,716K
1523,89K
1524,15K
1525,36K
1526,
1527,
1528,9.2M
1529,239K
1530,930K
1531,
1532,561K
1533,169K
1534,387K
1535,344K
1536,298K
1537,9
1538,198K
1539,13K
1540,2.3K
1541,11K
1542,12K
1543,442K
1544,16M
1545,
1546,
1547,
1548,44K
1549,
1550,208K
1551,1.3M
1552,142K
1553,
1554,334K
1555,
1556,429
1557,209K
1558,29K
1559,282K
1560,4
1561,823K
1562,57K
1563,193K
1564,699K
1565,803K
1566,
1567,3.3K
1568,588K
1569,123
1570,28
1571,9.3K
1572,39K
1573,121K
1574,2.3K
1575,
1576,3.4M
1577,131K
1578,233K
1579,14K
1580,413K
1581,238
1582,2.1K
1583,934K
1584,3.1M
1585,802K
1586,352
1587,656K
1588,111K
1589,236K
1590,57K
1591,470K
1592,35K
1593,131K
1594,405
1595,
1596,344K
1597,209
1598,250K
1599,1.1K
1600,72K
1601,
1602,4.1K
1603,85K
1604,87
1605,163K
1606,3M
1607,429
1608,135K
1609,11K
1610,273K
1611,8.7K
1612,147K
1613,1.1M
1614,277
1615,476
1616,3.1M
1617,52K
1618,13K
1619,5.2M
1620,11K
1621,305K
1622,17K
1623,45K
1624,9.5K
1625,162K
1626,339K
1627,266K
1628,24K
1629,193K
1630,887K
1631,11K
1632,7.3K
1633,952K
1634,78K
1635,1M
1636,290K
1637,
1638,930
1639,890K
1640,3.2M
1641,202
1642,11
1643,1.9K
1644,17K
1645,2.4M
1646,115K
1647,59K
1648,113K
1649,35K
1650,7.5K
1651,
1652,96K
1653,5.3M
1654,10K
1655,349
1656,2.4M
1657,
1658,2K
1659,
1660,4.5K
1661,230K
1662,236K
1663,75K
1664,
1665,2.1M
1666,4.7K
1667,88K
1668,28K
1669,990K
1670,
1671,1.2K
1672,15
1673,24K
1674,4.9K
1675,25K
1676,77K
1677,8.1K
1678,82K
1679,48
1680,
1681,248K
1682,533K
1683,11K
1684,1.1M
1685,1.5M
1686,14
1687,
1688,23K
1689,5K
1690,10M
1691,438K
1692,886K
1693,383K
1694,10K
1695,114K
1696,55K
1697,1.8K
1698,935K
1699,5.4K
1700,361K
1701,21K
1702,34K
1703,26K
1704,6M
1705,
1706,184K
1707,1.4M
1708,2.4M
1709,12M
1710,1.2M
1711,
1712,3.8K
1713,1.4M
1714,130K
1715,17
1716,690K
1717,
1718,185K
1719,
1720,4K
1721,128K
1722,11M
1723,
1724,433K
1725,179K
1726,6.5K
1727,1.1M
1728,378
1729,4.4K
1730,165K
1731,2.4M
1732,785K
1733,
1734,74K
1735,1.7M
1736,240
1737,654K
1738,23K
1739,6.4K
1740,276K
1741,391K
1742,2K
1743,3.7K
1744,181K
1745,726K
1746,571K
1747,267K
1748,1.1K
1749,5.1K
1750,
1751,1K
1752,987K
1753,1.8M
1754,315K
1755,
1756,86K
1757,874K
1758,92K
1759,56K
1760,5.7K
1761,286
1762,5.8K
1763,1.5M
1764,233K
1765,458K
1766,70K
1767,2.2M
1768,131K
1769,1.8M
1770,58K
1771,4.9K
1772,636K
1773,192K
1774,558K
1775,425K
1776,341K
1777,21K
1778,181K
1779,136K
1780,458K
1781,346K
1782,1M
1783,
1784,147K
1785,1M
1786,32K
1787,1.4M
1788,97K
1789,617K
1790,56K
1791,550K
1792,1.8M
1793,44K
1794,46K
1795,93K
1796,
1797,
1798,749K
1799,136K
1800,3.3M
1801,82K
1802,280K
1803,880
1804,18K
1805,65
1806,1.1K
1807,5.2K
1808,2M
1809,
1810,53K
1811,55K
1812,101K
1813,1.7M
1814,4.3K
1815,7.3M
1816,88K
1817,2.1K
1818,547K
1819,303K
1820,35K
1821,3.1K
1822,3.9M
1823,116K
1824,2.8M
1825,60K
1826,213K
1827,1.4M
1828,1K
1829,62
1830,250K
1831,375K
1832,1.8M
1833,33K
1834,351K
1835,3.5K
1836,1.2K
1837,2.8K
1838,11K
1839,30K
1840,406K
1841,153K
1842,241K
1843,2.1M
1844,116K
1845,4.1M
1846,481K
1847,2M
1848,2.3M
1849,391
1850,10K
1851,1.1M
1852,65K
1853,2.3K
1854,3K
1855,252K
1856,346K
1857,171K
1858,188K
1859,1.4M
1860,20K
1861,666K
1862,3.6K
1863,8.5M
1864,1.4M
1865,2.5M
1866,14M
1867,14M
1868,51K
1869,2M
1870,
1871,771K
1872,5.8M
1873,452
1874,737K
1875,505K
1876,5.4M
1877,1.3K
1878,82K
1879,44K
1880,1.2M
1881,477K
1882,1.3K
1883,1.6M
1884,941K
1885,99K
1886,2.9M
1887,1.7M
1888,18K
1889,197
1890,1.5M
1891,1.7M
1892,111K
1893,7.4K
1894,8.9M
1895,125
1896,1.5M
1897,1.1M
1898,797K
1899,601K
1900,943K
1901,1.2M
1902,263K
1903,3.1M
1904,1.9M
1905,694K
